circrna_id	mrna_id	correlation	p_value	adj_p_value	n_samples	rank_score
mmu_Mdn1_0010000-ORF3(168,315):none:25.3 PE=2	A2AG50	0.8994946555316947	0.03766687107868061	0.04787551000792808	5	0.8994946555316947
mmu_Mdn1_0010000-ORF3(168,315):none:25.3 PE=2	B8ZXI1	0.9571189578184374	0.01059055030142246	0.046923696953574616	5	0.9571189578184374
mmu_Mdn1_0010000-ORF3(168,315):none:25.3 PE=2	E9PXV9	0.8945917187297248	0.04042567708985847	0.04787551000792808	5	0.8945917187297248
mmu_Mdn1_0010000-ORF3(168,315):none:25.3 PE=2	E9Q3L2	-0.9189252520582765	0.02737215655625186	0.046923696953574616	5	-0.9189252520582765
mmu_Mdn1_0088000-ORF2(148,295):none:25.2 PE=2	A2AI08	0.9457214432122205	0.015055959164368743	0.046923696953574616	5	0.9457214432122205
mmu_Mdn1_0088000-ORF2(148,295):none:25.2 PE=2	A3KMP2	0.9204845208352707	0.026592701563928893	0.046923696953574616	5	0.9204845208352707
mmu_Mdn1_0088000-ORF2(148,295):none:25.2 PE=2	B1AZP2-3	0.9422432395333432	0.01651731271303284	0.046923696953574616	5	0.9422432395333432
mmu_Mdn1_0088000-ORF2(148,295):none:25.2 PE=2	B8ZXI1	0.9735529230065367	0.005142448744297493	0.046923696953574616	5	0.9735529230065367
mmu_Mdn1_0088000-ORF2(148,295):none:25.2 PE=2	B9EKI3	0.8818537832136965	0.04787551000792808	0.04787551000792808	5	0.8818537832136965
mmu_Mdn1_0088000-ORF2(148,295):none:25.2 PE=2	E9Q1P8	-0.8833690990036402	0.046968513429017686	0.04787551000792808	5	-0.8833690990036402
mmu_Mdn1_0088000-ORF2(148,295):none:25.2 PE=2	E9Q7G0	0.9253233344241234	0.024220647145913578	0.046923696953574616	5	0.9253233344241234
mmu_Mdn1_0088000-ORF2(148,295):none:25.2 PE=2	F6ZDS4	0.8933659102628448	0.04112506150034013	0.04787551000792808	5	0.8933659102628448
