protein_id	input_peptide_count	retained_peptide_count	removed_peptides	is_circrna
A0A0M3U1B0	6	6.0	0.0	False
A0A1D9BZF0	3	3.0	0.0	False
A0A7N9VSG0	3	3.0	0.0	False
A1A5B6	3	3.0	0.0	False
A1L3P4	5	5.0	0.0	False
A2A432-2	23	23.0	0.0	False
A2A5N3	22	22.0	0.0	False
A2A8L5	2	2.0	0.0	False
A2A8Z1	1	1.0	0.0	False
A2A995	1	1.0	0.0	False
A2A9R3	26	26.0	0.0	False
A2ADA5	1	1.0	0.0	False
A2ADY9	5	5.0	0.0	False
A2AG50	9	9.0	0.0	False
A2AGT5-3	9	9.0	0.0	False
A2AI08	1	1.0	0.0	False
A2AJI0-2	1	1.0	0.0	False
A2AKG8	3	3.0	0.0	False
A2AKX3-2	1	1.0	0.0	False
A2ALU4	8	8.0	0.0	False
A2AMZ4	1	1.0	0.0	False
A2AN08-3	52	52.0	0.0	False
A2AQ25-3	1	1.0	0.0	False
A2AR02	3	3.0	0.0	False
A2ARM1	11	11.0	0.0	False
A2ASS6	3	3.0	0.0	False
A2AT37	6	6.0	0.0	False
A2ATU0	6	6.0	0.0	False
A2AWA9	12	12.0	0.0	False
A2BDX3	3	3.0	0.0	False
A2BE28-2	3	3.0	0.0	False
A2BH40	10	10.0	0.0	False
A2RTL5	3	3.0	0.0	False
A3KMP2	3	3.0	0.0	False
A6H5Y3	10	10.0	0.0	False
A6H630	3	3.0	0.0	False
A6PWY4-2	3	3.0	0.0	False
A8C756	3	3.0	0.0	False
B1ARW8	3	3.0	0.0	False
B1AVY7	3	3.0	0.0	False
B1AY13	3	3.0	0.0	False
B1AZA5	3	3.0	0.0	False
B1AZP2-3	3	3.0	0.0	False
B1B0V2	1	1.0	0.0	False
B2RQC6	45	45.0	0.0	False
B2RR83	4	4.0	0.0	False
B2RRE7	2	2.0	0.0	False
B2RWS6	1	1.0	0.0	False
B2RXC1	3	3.0	0.0	False
B2RXR6	2	2.0	0.0	False
B2RXS4	4	4.0	0.0	False
B2RY56	6	6.0	0.0	False
B8JKV0	5	5.0	0.0	False
B8ZXI1	2	2.0	0.0	False
B9EJ86	3	3.0	0.0	False
B9EKI3	1	1.0	0.0	False
C0HKD8	2	2.0	0.0	False
C0HKE1	4	4.0	0.0	False
C0HKG5	3	3.0	0.0	False
C0LLJ0-2	4	4.0	0.0	False
C3VD30	8	8.0	0.0	False
D3YXK2	16	16.0	0.0	False
D3YZP9	5	5.0	0.0	False
D3Z3I0	1	1.0	0.0	False
D3Z6Q9	8	8.0	0.0	False
D3Z7P3-2	2	2.0	0.0	False
D3Z7Q2	1	1.0	0.0	False
E9PVA8	48	48.0	0.0	False
E9PXV9	1	1.0	0.0	False
E9PYK3	9	9.0	0.0	False
E9PZJ8	5	5.0	0.0	False
E9Q137-2	3	3.0	0.0	False
E9Q1P8	3	3.0	0.0	False
E9Q2Z1-2	3	3.0	0.0	False
E9Q394-2	24	24.0	0.0	False
E9Q3G8	3	3.0	0.0	False
E9Q3L2	2	2.0	0.0	False
E9Q4N7	6	6.0	0.0	False
E9Q5C9	18	18.0	0.0	False
E9Q5G3	2	2.0	0.0	False
E9Q5G7	8	8.0	0.0	False
E9Q5K9-2	2	2.0	0.0	False
E9Q649	2	2.0	0.0	False
E9Q6J5-2	2	2.0	0.0	False
E9Q735	7	7.0	0.0	False
E9Q7G0	56	56.0	0.0	False
E9Q7M2-2	1	1.0	0.0	False
E9Q8D0	6	6.0	0.0	False
E9Q912-2	6	6.0	0.0	False
E9QAT4-2	11	11.0	0.0	False
F6W8I0	1	1.0	0.0	False
F6ZDS4	33	33.0	0.0	False
F8VPK0	2	2.0	0.0	False
F8VPU2	2	2.0	0.0	False
F8VQB6	5	5.0	0.0	False
G3X8U3	10	10.0	0.0	False
G3X9K3	6	6.0	0.0	False
G5E829	14	14.0	0.0	False
G5E870	8	8.0	0.0	False
G5E8V9-2	3	3.0	0.0	False
L0N7N1	17	17.0	0.0	False
L7N1X6	20	20.0	0.0	False
mmu_Cltc_0039000-ORF3(435,582):none:25.3 PE=2	1	1.0	0.0	True
mmu_Mdn1_0010000-ORF3(168,315):none:25.3 PE=2	2	2.0	0.0	True
mmu_Mdn1_0088000-ORF2(148,295):none:25.2 PE=2	1	1.0	0.0	True
mmu_Mipep_0004000-ORF45_ATG_RCT(1294,2722):none:20.3|472.1 PE=2	2	2.0	0.0	True
mmu_Pabpc4_0001000-ORF3(394,478):none:25.3 PE=2	3	3.0	0.0	True
mmu_Ybx2_0003000-ORF1(64,211):none:25.1 PE=2	2	2.0	0.0	True
